EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IJMUIDEN            , NETHERLANDS (STAID: 3176)
Blended and updated with sources:13488 906225 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
  3176, 13488,19720324,   51,    0
  3176, 13488,19720325,   62,    0
  3176, 13488,19720326,   98,    0
  3176, 13488,19720327,  134,    0
  3176, 13488,19720328,  129,    0
  3176, 13488,19720329,   98,    0
  3176, 13488,19720330,  118,    0
  3176, 13488,19720331,   93,    0
  3176, 13488,19720401,   36,    0
  3176, 13488,19720402,  118,    0
  3176, 13488,19720403,   93,    0
  3176, 13488,19720404,   93,    0
  3176, 13488,19720405,  123,    0
  3176, 13488,19720406,  118,    0
  3176, 13488,19720407,  144,    0
  3176, 13488,19720408,  144,    0
  3176, 13488,19720409,   67,    0
  3176, 13488,19720410,  108,    0
  3176, 13488,19720411,   62,    0
  3176, 13488,19720412,   46,    0
  3176, 13488,19720413,   26,    0
  3176, 13488,19720414,   41,    0
  3176, 13488,19720415,  134,    0
  3176, 13488,19720416,  113,    0
  3176, 13488,19720417,   46,    0
  3176, 13488,19720418,   72,    0
  3176, 13488,19720419,  118,    0
  3176, 13488,19720420,   93,    0
  3176, 13488,19720421,   72,    0
  3176, 13488,19720422,   82,    0
  3176, 13488,19720423,   87,    0
  3176, 13488,19720424,  103,    0
  3176, 13488,19720425,   72,    0
  3176, 13488,19720426,   87,    0
  3176, 13488,19720427,  108,    0
  3176, 13488,19720428,   77,    0
  3176, 13488,19720429,  144,    0
  3176, 13488,19720430,   72,    0
  3176, 13488,19720501,   36,    0
  3176, 13488,19720502,   36,    0
  3176, 13488,19720503,   51,    0
  3176, 13488,19720504,   82,    0
  3176, 13488,19720505,   72,    0
  3176, 13488,19720506,   41,    0
  3176, 13488,19720507,   31,    0
  3176, 13488,19720508,   46,    0
  3176, 13488,19720509,   62,    0
  3176, 13488,19720510,   57,    0
  3176, 13488,19720511,   31,    0
  3176, 13488,19720512,   36,    0
  3176, 13488,19720513,   72,    0
  3176, 13488,19720514,  103,    0
  3176, 13488,19720515,   93,    0
  3176, 13488,19720516,   87,    0
  3176, 13488,19720517,   82,    0
  3176, 13488,19720518,   82,    0
  3176, 13488,19720519,   46,    0
  3176, 13488,19720520,   57,    0
  3176, 13488,19720521,   62,    0
  3176, 13488,19720522,   46,    0
  3176, 13488,19720523,   51,    0
  3176, 13488,19720524,  108,    0
  3176, 13488,19720525,  134,    0
  3176, 13488,19720526,  175,    0
  3176, 13488,19720527,  154,    0
  3176, 13488,19720528,  129,    0
  3176, 13488,19720529,  134,    0
  3176, 13488,19720530,  144,    0
  3176, 13488,19720531,  113,    0
  3176, 13488,19720601,   41,    0
  3176, 13488,19720602,   46,    0
  3176, 13488,19720603,   67,    0
  3176, 13488,19720604,   57,    0
  3176, 13488,19720605,   51,    0
  3176, 13488,19720606,   46,    0
  3176, 13488,19720607,   62,    0
  3176, 13488,19720608,  118,    0
  3176, 13488,19720609,   67,    0
  3176, 13488,19720610,   67,    0
  3176, 13488,19720611,   67,    0
  3176, 13488,19720612,   31,    0
  3176, 13488,19720613,   46,    0
  3176, 13488,19720614,   82,    0
  3176, 13488,19720615,   57,    0
  3176, 13488,19720616,   51,    0
  3176, 13488,19720617,   62,    0
  3176, 13488,19720618,  123,    0
  3176, 13488,19720619,  103,    0
  3176, 13488,19720620,   87,    0
  3176, 13488,19720621,  154,    0
  3176, 13488,19720622,  113,    0
  3176, 13488,19720623,  113,    0
  3176, 13488,19720624,   57,    0
  3176, 13488,19720625,   62,    0
  3176, 13488,19720626,   36,    0
  3176, 13488,19720627,   46,    0
  3176, 13488,19720628,   57,    0
  3176, 13488,19720629,   46,    0
  3176, 13488,19720630,-9999,    9
  3176, 13488,19720701,-9999,    9
  3176, 13488,19720702,-9999,    9
  3176, 13488,19720703,-9999,    9
  3176, 13488,19720704,-9999,    9
  3176, 13488,19720705,-9999,    9
  3176, 13488,19720706,   46,    0
  3176, 13488,19720707,   98,    0
  3176, 13488,19720708,   72,    0
  3176, 13488,19720709,   62,    0
  3176, 13488,19720710,   72,    0
  3176, 13488,19720711,   62,    0
  3176, 13488,19720712,   36,    0
  3176, 13488,19720713,   41,    0
  3176, 13488,19720714,   51,    0
  3176, 13488,19720715,   62,    0
  3176, 13488,19720716,  113,    0
  3176, 13488,19720717,  103,    0
  3176, 13488,19720718,   77,    0
  3176, 13488,19720719,   72,    0
  3176, 13488,19720720,   62,    0
  3176, 13488,19720721,   51,    0
  3176, 13488,19720722,   62,    0
  3176, 13488,19720723,   41,    0
  3176, 13488,19720724,   62,    0
  3176, 13488,19720725,   72,    0
  3176, 13488,19720726,  103,    0
  3176, 13488,19720727,  118,    0
  3176, 13488,19720728,   46,    0
  3176, 13488,19720729,   46,    0
  3176, 13488,19720730,   41,    0
  3176, 13488,19720731,   62,    0
  3176, 13488,19720801,   46,    0
  3176, 13488,19720802,   57,    0
  3176, 13488,19720803,  103,    0
  3176, 13488,19720804,  134,    0
  3176, 13488,19720805,  103,    0
  3176, 13488,19720806,   57,    0
  3176, 13488,19720807,   67,    0
  3176, 13488,19720808,  103,    0
  3176, 13488,19720809,  113,    0
  3176, 13488,19720810,   51,    0
  3176, 13488,19720811,   51,    0
  3176, 13488,19720812,   62,    0
  3176, 13488,19720813,   46,    0
  3176, 13488,19720814,   62,    0
  3176, 13488,19720815,   82,    0
  3176, 13488,19720816,   57,    0
  3176, 13488,19720817,  103,    0
  3176, 13488,19720818,  118,    0
  3176, 13488,19720819,  113,    0
  3176, 13488,19720820,   57,    0
  3176, 13488,19720821,   98,    0
  3176, 13488,19720822,   98,    0
  3176, 13488,19720823,   51,    0
  3176, 13488,19720824,   67,    0
  3176, 13488,19720825,   51,    0
  3176, 13488,19720826,   57,    0
  3176, 13488,19720827,   62,    0
  3176, 13488,19720828,   93,    0
  3176, 13488,19720829,   87,    0
  3176, 13488,19720830,   87,    0
  3176, 13488,19720831,   82,    0
  3176, 13488,19720901,   82,    0
  3176, 13488,19720902,   77,    0
  3176, 13488,19720903,   82,    0
  3176, 13488,19720904,   62,    0
  3176, 13488,19720905,   57,    0
  3176, 13488,19720906,   46,    0
  3176, 13488,19720907,   62,    0
  3176, 13488,19720908,   51,    0
  3176, 13488,19720909,  103,    0
  3176, 13488,19720910,   93,    0
  3176, 13488,19720911,  113,    0
  3176, 13488,19720912,   87,    0
  3176, 13488,19720913,   41,    0
  3176, 13488,19720914,   72,    0
  3176, 13488,19720915,   72,    0
  3176, 13488,19720916,   87,    0
  3176, 13488,19720917,   67,    0
  3176, 13488,19720918,   21,    0
  3176, 13488,19720919,   36,    0
  3176, 13488,19720920,   10,    0
  3176, 13488,19720921,   21,    0
  3176, 13488,19720922,   36,    0
  3176, 13488,19720923,   62,    0
  3176, 13488,19720924,   57,    0
  3176, 13488,19720925,   67,    0
  3176, 13488,19720926,   51,    0
  3176, 13488,19720927,   77,    0
  3176, 13488,19720928,   67,    0
  3176, 13488,19720929,   26,    0
  3176, 13488,19720930,   51,    0
  3176, 13488,19721001,   87,    0
  3176, 13488,19721002,   82,    0
  3176, 13488,19721003,   62,    0
  3176, 13488,19721004,   51,    0
  3176, 13488,19721005,   67,    0
  3176, 13488,19721006,   72,    0
  3176, 13488,19721007,   31,    0
  3176, 13488,19721008,   15,    0
  3176, 13488,19721009,   26,    0
  3176, 13488,19721010,   62,    0
  3176, 13488,19721011,   51,    0
  3176, 13488,19721012,   62,    0
  3176, 13488,19721013,   62,    0
  3176, 13488,19721014,   62,    0
  3176, 13488,19721015,   41,    0
  3176, 13488,19721016,   46,    0
  3176, 13488,19721017,   57,    0
  3176, 13488,19721018,   82,    0
  3176, 13488,19721019,   46,    0
  3176, 13488,19721020,  108,    0
  3176, 13488,19721021,   98,    0
  3176, 13488,19721022,  118,    0
  3176, 13488,19721023,  129,    0
  3176, 13488,19721024,   98,    0
  3176, 13488,19721025,   67,    0
  3176, 13488,19721026,   62,    0
  3176, 13488,19721027,   67,    0
  3176, 13488,19721028,   77,    0
  3176, 13488,19721029,   77,    0
  3176, 13488,19721030,   67,    0
  3176, 13488,19721031,   31,    0
  3176, 13488,19721101,   41,    0
  3176, 13488,19721102,   67,    0
  3176, 13488,19721103,   72,    0
  3176, 13488,19721104,   57,    0
  3176, 13488,19721105,   87,    0
  3176, 13488,19721106,   82,    0
  3176, 13488,19721107,  103,    0
  3176, 13488,19721108,   51,    0
  3176, 13488,19721109,  129,    0
  3176, 13488,19721110,  144,    0
  3176, 13488,19721111,  139,    0
  3176, 13488,19721112,  139,    0
  3176, 13488,19721113,  195,    0
  3176, 13488,19721114,   51,    0
  3176, 13488,19721115,  134,    0
  3176, 13488,19721116,  103,    0
  3176, 13488,19721117,   87,    0
  3176, 13488,19721118,   77,    0
  3176, 13488,19721119,   93,    0
  3176, 13488,19721120,  108,    0
  3176, 13488,19721121,  149,    0
  3176, 13488,19721122,  103,    0
  3176, 13488,19721123,  123,    0
  3176, 13488,19721124,   82,    0
  3176, 13488,19721125,   62,    0
