EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOEK VAN HOLLAND, NETHERLANDS (STAID: 602)
Blended and updated with sources:13634 906330 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
   602, 13634,19710718,   51,    0
   602, 13634,19710719,   26,    0
   602, 13634,19710720,   26,    0
   602, 13634,19710721,   31,    0
   602, 13634,19710722,   26,    0
   602, 13634,19710723,   31,    0
   602, 13634,19710724,   57,    0
   602, 13634,19710725,   51,    0
   602, 13634,19710726,   36,    0
   602, 13634,19710727,   26,    0
   602, 13634,19710728,   82,    0
   602, 13634,19710729,   72,    0
   602, 13634,19710730,   26,    0
   602, 13634,19710731,   93,    0
   602, 13634,19710801,   41,    0
   602, 13634,19710802,   46,    0
   602, 13634,19710803,   57,    0
   602, 13634,19710804,   98,    0
   602, 13634,19710805,   62,    0
   602, 13634,19710806,   46,    0
   602, 13634,19710807,   77,    0
   602, 13634,19710808,   57,    0
   602, 13634,19710809,   87,    0
   602, 13634,19710810,   36,    0
   602, 13634,19710811,  103,    0
   602, 13634,19710812,   51,    0
   602, 13634,19710813,   87,    0
   602, 13634,19710814,   82,    0
   602, 13634,19710815,   62,    0
   602, 13634,19710816,   26,    0
   602, 13634,19710817,   31,    0
   602, 13634,19710818,   41,    0
   602, 13634,19710819,   26,    0
   602, 13634,19710820,   31,    0
   602, 13634,19710821,   31,    0
   602, 13634,19710822,   26,    0
   602, 13634,19710823,   26,    0
   602, 13634,19710824,   41,    0
   602, 13634,19710825,   36,    0
   602, 13634,19710826,   41,    0
   602, 13634,19710827,   72,    0
   602, 13634,19710828,  134,    0
   602, 13634,19710829,  103,    0
   602, 13634,19710830,   72,    0
   602, 13634,19710831,   77,    0
   602, 13634,19710901,  113,    0
   602, 13634,19710902,   72,    0
   602, 13634,19710903,   57,    0
   602, 13634,19710904,   46,    0
   602, 13634,19710905,   26,    0
   602, 13634,19710906,   36,    0
   602, 13634,19710907,   31,    0
   602, 13634,19710908,   46,    0
   602, 13634,19710909,   41,    0
   602, 13634,19710910,   31,    0
   602, 13634,19710911,   36,    0
   602, 13634,19710912,   57,    0
   602, 13634,19710913,   51,    0
   602, 13634,19710914,   46,    0
   602, 13634,19710915,   31,    0
   602, 13634,19710916,   21,    0
   602, 13634,19710917,   36,    0
   602, 13634,19710918,   46,    0
   602, 13634,19710919,   21,    0
   602, 13634,19710920,   21,    0
   602, 13634,19710921,   26,    0
   602, 13634,19710922,   31,    0
   602, 13634,19710923,   41,    0
   602, 13634,19710924,   41,    0
   602, 13634,19710925,   41,    0
   602, 13634,19710926,   36,    0
   602, 13634,19710927,   41,    0
